,time,PRT_1,PRT_2,PRT_3,PRT_4,Event_A,MOL_A,Event_B,MOL_B
0,2020-04-01 00:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
1,2020-04-01 01:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
2,2020-04-01 02:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
3,2020-04-01 03:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
4,2020-04-01 04:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
5,2020-04-01 05:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
6,2020-04-01 06:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
7,2020-04-01 07:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
8,2020-04-01 08:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
9,2020-04-01 09:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
10,2020-04-01 10:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
11,2020-04-01 11:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
12,2020-04-01 12:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
13,2020-04-01 13:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
14,2020-04-01 14:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
15,2020-04-01 15:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
16,2020-04-01 16:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
17,2020-04-01 17:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
18,2020-04-01 18:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
19,2020-04-01 19:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
20,2020-04-01 20:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
21,2020-04-01 21:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
22,2020-04-01 22:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
23,2020-04-01 23:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
24,2020-04-02 00:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
25,2020-04-02 01:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
26,2020-04-02 02:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
27,2020-04-02 03:00:00,0,0,0,0,CHECK_1,0.0,CHECK_1,0.0
28,2020-04-02 04:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
29,2020-04-02 05:00:00,0,0,0,0,CHANGE_12,0.0,CHANGE_12,0.0
30,2020-04-02 06:00:00,0,0,0,0,CHANGE_12,0.0,CHANGE_12,0.0
31,2020-04-02 07:00:00,0,0,0,0,CHANGE_12,0.0,CHANGE_12,0.0
32,2020-04-02 08:00:00,0,0,0,0,CHANGE_12,0.0,CHANGE_12,0.0
33,2020-04-02 09:00:00,0,0,0,0,CHANGE_12,0.0,CHANGE_12,0.0
34,2020-04-02 10:00:00,0,0,0,0,CHANGE_12,0.0,CHANGE_12,0.0
35,2020-04-02 11:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
36,2020-04-02 12:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
37,2020-04-02 13:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
38,2020-04-02 14:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
39,2020-04-02 15:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
40,2020-04-02 16:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
41,2020-04-02 17:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
42,2020-04-02 18:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
43,2020-04-02 19:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
44,2020-04-02 20:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
45,2020-04-02 21:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
46,2020-04-02 22:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
47,2020-04-02 23:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
48,2020-04-03 00:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
49,2020-04-03 01:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
50,2020-04-03 02:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
51,2020-04-03 03:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
52,2020-04-03 04:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
53,2020-04-03 05:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
54,2020-04-03 06:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
55,2020-04-03 07:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
56,2020-04-03 08:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
57,2020-04-03 09:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
58,2020-04-03 10:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
59,2020-04-03 11:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
60,2020-04-03 12:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
61,2020-04-03 13:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
62,2020-04-03 14:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
63,2020-04-03 15:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
64,2020-04-03 16:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
65,2020-04-03 17:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
66,2020-04-03 18:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
67,2020-04-03 19:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
68,2020-04-03 20:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
69,2020-04-03 21:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
70,2020-04-03 22:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
71,2020-04-03 23:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
72,2020-04-04 00:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
73,2020-04-04 01:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
74,2020-04-04 02:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
75,2020-04-04 03:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
76,2020-04-04 04:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
77,2020-04-04 05:00:00,0,0,0,0,CHANGE_23,0.0,CHANGE_23,0.0
78,2020-04-04 06:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
79,2020-04-04 07:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
80,2020-04-04 08:00:00,0,0,0,0,CHANGE_31,0.0,CHANGE_31,0.0
81,2020-04-04 09:00:00,0,0,0,0,CHANGE_31,0.0,CHANGE_31,0.0
82,2020-04-04 10:00:00,0,0,0,0,CHANGE_31,0.0,CHANGE_31,0.0
83,2020-04-04 11:00:00,0,0,0,0,CHANGE_31,0.0,CHANGE_31,0.0
84,2020-04-04 12:00:00,0,0,0,0,CHANGE_31,0.0,CHANGE_31,0.0
85,2020-04-04 13:00:00,0,0,0,0,CHANGE_31,0.0,CHANGE_31,0.0
86,2020-04-04 14:00:00,0,0,0,0,CHANGE_31,0.0,CHANGE_31,0.0
87,2020-04-04 15:00:00,0,0,0,0,CHANGE_31,0.0,CHANGE_31,0.0
88,2020-04-04 16:00:00,0,0,0,0,CHANGE_31,0.0,CHANGE_31,0.0
89,2020-04-04 17:00:00,0,0,0,0,CHANGE_31,0.0,CHANGE_31,0.0
90,2020-04-04 18:00:00,0,0,0,0,CHANGE_31,0.0,CHANGE_31,0.0
91,2020-04-04 19:00:00,0,0,0,0,CHANGE_31,0.0,CHANGE_31,0.0
92,2020-04-04 20:00:00,0,0,0,0,CHANGE_31,0.0,CHANGE_31,0.0
93,2020-04-04 21:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
94,2020-04-04 22:00:00,0,0,0,0,CHANGE_13,0.0,CHANGE_13,0.0
95,2020-04-04 23:00:00,0,0,0,0,CHANGE_13,0.0,CHANGE_13,0.0
96,2020-04-05 00:00:00,0,0,0,0,CHANGE_13,0.0,CHANGE_13,0.0
97,2020-04-05 01:00:00,0,0,0,0,CHANGE_13,0.0,CHANGE_13,0.0
98,2020-04-05 02:00:00,0,0,0,0,CHANGE_13,0.0,CHANGE_13,0.0
99,2020-04-05 03:00:00,0,0,0,0,CHANGE_13,0.0,CHANGE_13,0.0
100,2020-04-05 04:00:00,0,0,0,0,CHANGE_13,0.0,CHANGE_13,0.0
101,2020-04-05 05:00:00,0,0,0,0,CHANGE_13,0.0,CHANGE_13,0.0
102,2020-04-05 06:00:00,0,0,0,0,CHANGE_13,0.0,CHANGE_13,0.0
103,2020-04-05 07:00:00,0,0,0,0,CHANGE_13,0.0,CHANGE_13,0.0
104,2020-04-05 08:00:00,0,0,0,0,CHANGE_13,0.0,CHANGE_13,0.0
105,2020-04-05 09:00:00,0,0,0,0,CHANGE_13,0.0,CHANGE_13,0.0
106,2020-04-05 10:00:00,0,0,0,0,CHANGE_13,0.0,CHANGE_13,0.0
107,2020-04-05 11:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
108,2020-04-05 12:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
109,2020-04-05 13:00:00,0,0,0,0,CHANGE_32,0.0,CHANGE_32,0.0
